"id","name"
category_001,"Amperimetro Digital"
category_002,"Amplifier Probe Tone Generator"
category_003,"Analizador de Materiales"
category_004,"Apilador de Bloques"
category_005,"Balanza Analoga"
category_006,"Balanza Electronica"
category_007,"Balanza- Tallimetro"
category_008,"Base Fija"
category_009,"Base Magnetica Flexible"
category_010,"Base Magnetica Rígida"
category_011,"Bloque Patron"
category_012,"Bloque Patron para Ultrasonido"
category_013,"Bomba Hidraulica"
category_014,"Bomba Manual"
category_015,"Bomba Neuaática"
category_016,"Calibrador de Altura (Pie De Rey)"
category_017,"Calibrador de Hojas (Feeler Gauge)"
category_018,"Calibrador de Proceso"
category_019,"Calibrador de Temperatura"
category_020,"Colector de Vibraciones Multicanal"
category_021,"Corona Plus"
category_022,"Cuenta Hilos"
category_023,"Camara Digital"
category_024,"Cinta π"
category_025,"Comparador De Interiores (Alexometro)"
category_026,"CMM"
category_027,"Compas para Exteriores"
category_028,"Controlador de Temperatura"
category_029,"Detector de Cuña"
category_030,"Detector de Gases"
category_031,"Dinamometro"
category_032,"Durometro"
category_033,"El CID"
category_034,"Equipo de Aislamiento"
category_035,"Equipo de Alineacion Clip-On Vibrating Aligment Kit"
category_036,"Equipo de Alineacion Laser "
category_037,"Equipo de Corrientes Eddy"
category_038,"Equipo de Ultrasonido"
category_039,"Escuadra de Precision"
category_040,"Espejo de Inspeccion"
category_041,"Estetoscopio"
category_042,"Etiquetadora"
category_043,"Extenciometro"
category_044,"Fuente de Poder DC"
category_045,"Galga Cuenta Hilo"
category_046,"Galga de Perfil De Soldadura"
category_047,"Galga de Radio"
category_048,"Galga Paralela"
category_049,"Galga Telescopica"
category_050,"Galgas Conicas (Taper Gauge)"
category_051,"Goniometro Analogo"
category_052,"Goniometro Digital"
category_053,"Hi-Pot"
category_054,"Hidrometro Baume"
category_055,"Horno de Temperatura"
category_056,"Impresora de Marquilla"
category_057,"Indicador de Presion"
category_058,"Indicador de Rotacin"
category_059,"Juego de Escuadras "
category_060,"Lampara de Luz Ultravioleta"
category_061,"Linterna"
category_062,"Machinery Health Analyzer CSI"
category_063,"Manometro"
category_064,"Maquina de Particulas Magneticas"
category_065,"Medidor de Campo Magnetico (Gaussimetro)"
category_066,"Medidor de Densidad"
category_067,"Medidor de Distancia Laser"
category_068,"Medidor de Espesores"
category_069,"Medidor de Humedad"
category_070,"Medidor de Luz"
category_071,"Medidor de Luz Negra"
category_072,"Medidor de Perfil"
category_073,"Medidor de Picadura"
category_074,"Medidor de Tension"
category_075,"Megometro"
category_076,"Mentor Visual IQ"
category_077,"Mesa de Granito"
category_078,"Mesa de Marmol"
category_079,"Micrometro de Profundidad"
category_080,"Micrometro Exterior"
category_081,"Micrometro Exterior Digital"
category_082,"Micrometro Interior"
category_083,"Micrometro Interior Digital"
category_084,"Microscopio"
category_085,"Modulo de Presion"
category_086,"Multimetro Digital"
category_087,"Multiplicador de Torque"
category_088,"Negatoscopio"
category_089,"Nonio"
category_090,"Nivel de Precision"
category_091,"Paneles de Sensibilidad de Tinte Penetrante"
category_092,"Patron de Balanceo"
category_093,"Pesa Patron"
category_094,"Pinza Amperimetrica"
category_095,"Plantilla de Radio"
category_096,"Probador de Corriente"
category_097,"Pulverizador Portatil"
category_098,"Regla"
category_099,"Reloj Comparador"
category_100,"Reloj Palpador"
category_101,"Simulador de Vibracion y Posicion"
category_102,"Sleeve Universal"
category_103,"SS Wire"
category_104,"Tacometro "
category_105,"Termohigrometro"
category_106,"Termometro Infrarrojo (Medico)"
category_107,"Termometro Infrarrojo (Pirómetro)"
category_108,"Torquimetro 3/8''"
category_109,"Torquimetro 1/4''"
category_110,"Torquimetro 3/4''"
category_111,"Torquimetro 1/2''"
category_112,"Torquimetro 1''"
category_113,"Transportador Magnetico"
category_114,"Vernier Analogo"
category_115,"Vernier de Caratula"
category_116,"Vernier Digital"
category_117,"Yugo Electromagnetico"
