"id","name"
category_001,"ABB"
category_002,"AEMC Instruments"
category_003,"Agilet"
category_004,"Ametek Jofra"
category_005,"Amprobe"
category_006,"Anton Paar"
category_007,"Anytime Tools"
category_008,"Ashcoft"
category_009,"Automation Koun"
category_010,"Autonics"
category_011,"Baker"
category_012,"Baumer"
category_013,"Bellwether"
category_014,"Bently Nevada llc"
category_015,"Bestest"
category_016,"Biddle"
category_017,"Bing Zun"
category_018,"Bk Precision"
category_019,"Buehler"
category_020,"Carl Mahr"
category_021,"Cosi Test"
category_022,"Crow"
category_023,"Crystal"
category_024,"CSI"
category_025,"Data Physics"
category_026,"Defelsko"
category_027,"Detecto"
category_028,"Device"
category_029,"Dikang"
category_030,"Dillon"
category_031,"Divice"
category_032,"Drager"
category_033,"Dymo Industrial"
category_034,"Emersom"
category_035,"Epelca"
category_036,"Extech"
category_037,"Faro"
category_038,"Federal"
category_039,"Flood Light"
category_040,"Fluke"
category_041,"G.A.L. Gage CO"
category_042,"General Electric"
category_043,"Hellos"
category_044,"Hesse Equipment CO"
category_045,"Iderna Detecto"
category_046,"IRD"
category_047,"Iris Power"
category_048,"Jaquet"
category_049,"Jonnesway"
category_050,"Kinlee"
category_051,"Krautkramer"
category_052,"Labino"
category_053,"Magnaflux"
category_054,"Mc. Graw Edison"
category_055,"Megger"
category_056,"Metric"
category_057,"Mitutoyo"
category_058,"Monarch"
category_059,"Nikon"
category_060,"Nuova Fima"
category_061,"Ohus"
category_062,"Olympus"
category_063,"Panametrics"
category_064,"Panduit"
category_065,"Pitape"
category_066,"Power House Tool"
category_067,"Precision Brand"
category_068,"Proceq/Equotip"
category_069,"Proski"
category_070,"Proto"
category_071,"Pruftechnik"
category_072,"Ralston"
category_073,"RB Annis Company"
category_074,"Sherwin"
category_075,"SKF"
category_076,"Snap-On"
category_077,"Sony"
category_078,"SPI"
category_079,"Stanley"
category_080,"Starrett"
category_081,"Staveley"
category_082,"Steth. Troinc"
category_083,"Televac"
category_084,"Thermo Electron"
category_085,"Toledo"
category_086,"Tooluxe"
category_087,"Tru Stone"
category_088,"Ultrafire"
category_089,"Uni-T"
category_090,"View-Lite"
category_091,"Visharde"
category_092,"Yamato"
