"id","name"
category_001,Acople para indicador de presión
category_002,Accesorio de Martillo
category_003,Accesorio Escariador
category_004,Adaptador para pulir c- rotamil
category_005,Adaptador para rachet
category_006,Alicate channellock
category_007,Alicate de corte diagonal
category_008,Alicate de corte diagonal - Servicio pesado
category_009,Alicate de corte diagonal aislado
category_010,Alicate de presión
category_011,Alicate de presión para fijar laminas
category_012,Alicate de presión
category_013,Alicate mecanico
category_014,Alicate mecanico channellock aislado 1000V
category_015,Alicate para electricista
category_016,Alicate para entorchar
category_017,Alicate pela cable
category_018,Alicate punta larga - Curvo
category_019,Alicate punta larga - Recto
category_020,Antorcha para acetileno
category_021,Antorcha para impermeabilizar
category_022,Antorcha para propano
category_023,Arco de segueta
category_024,Arnes de seguridad
category_025,Aspiradora Ridgid 12 Gln
category_026,Balanza
category_027,Barra Hexagonal allen
category_028,Barra palanca
category_029,Barra para alineación
category_030,Bases Magneticas
category_031,Berbiqui
category_032,Bomba hidraulica electrica
category_033,Bomba hidraulica manual
category_034,Botador de cuello inserto
category_035,Botador inicial
category_036,Botador macizo
category_037,Botador para alineación
category_038,Cable de Alimentación 3X8
category_039,cabo de vida
category_040,Cadena con cuadrante
category_041,Calentador de electrodo 9KG/120V
category_042,Calibrador de hoja
category_043,Cancamo Fijo
category_044,Cancamo Giratorio
category_045,Carreta para equipo de oxicorte
category_046,Centro punto
category_047,Cincel
category_048,Cincel punta de diamante
category_049,Cincel punta de flecha
category_050,Cinta metrica
category_051,Cinta Pescante de 38mm X 1,5mm X 3,2mm
category_052,Cizalla
category_053,Corta Tubo
category_054,Cuchillas para terraja
category_055,Cuenta hilos
category_056,Dado 12 puntas Cromado
category_057,Dado 12 puntas negro
category_058,Dado allen corto Negro
category_059,Dado allen corto Cromado
category_060,Dado allen largo Negro
category_061,Dado allen largo Cromado
category_062,Dado cardan
category_063,Dado Hexagonal largo cromado
category_064,Dado Hexagonal largo Negro
category_065,Dado Hexagonal corto cromado
category_066,Dado Hexagonal largo Negro
category_067,Destornillador de copa
category_068,Destornillador de estría cuadrado cromado
category_069,Destornillador de estría Redondo cromado
category_070,Destornillador de estría
category_071,Destornillador de estría
category_072,Destornillador para dado
category_073,Destornillador plano
category_074,Dobla tubing
category_075,Dobla tubo
category_076,Yesquero para soldador
category_077,Engrasadora manual
category_078,Equipo de Argon C/pistola y manguera
category_079,Equipo de oxicorte
category_080,Equipo de oxicorte portatil
category_081,Escalera 12 tramos
category_082,Escalera 6 tramos
category_083,Escariador de empaques
category_084,Escariador neumático
category_085,Escuadra
category_086,Eslinga de acero
category_087,Eslinga de Nylon
category_088,Eslinga porta cilindro
category_089,Eslinga sinfín
category_090,Esmeril de banco
category_091,Esmeril eléctrico
category_092,Espatula
category_093,Espatula de bronce
category_094,Espejos mecanicos
category_095,Exacto
category_096,Extensión eléctrica
category_097,Extensión para ratchet
category_098,Extractor de Golpe
category_099,Extractor de pines
category_100,Extractor de polea - Juego
category_101,Extractor de tornillos - Juego
category_102,Extractor de tornillos
category_103,Flejadora Band IT Tool
category_104,Formon
category_105,Galga paralelas
category_106,Galgas telescopicas
category_107,Gato de botella
category_108,Gato hidraulico baja altura
category_109,Gato hidraulico cilindrico
category_110,Gato hidraulico hueco
category_111,Grillete
category_112,Indicador de presión
category_113,Jack pallet
category_114,Juego de llave combinada milimetricas desde 8mm hasta 32 mm 23 Pzas
category_115,Juego de sierra copa Greenlee 1/2" - 4" 9 pzas
category_116,Juego de helicoil
category_117,Kit de regulador de aire
category_118,Lima cuadrada
category_119,Lima de joyero
category_120,Lima media caña
category_121,Lima plana
category_122,Lima redonda
category_123,Lima triangular
category_124,Limpiador de picos
category_125,Llave ajustable
category_126,Llave allen
category_127,Llave allen - Juego 11 piezas
category_128,Llave allen - Juego 13 piezas
category_129,Llave allen - Juego 9 piezas
category_130,Llave allen - Juego caja metalica
category_131,Llave allen - Juego milimetrico 15 piezas
category_132,Llave combinada
category_133,Llave combinada 6 puntas abierta
category_134,Llave combinada tipo ratchet
category_135,Llave de cadena
category_136,Llave de golpe angular
category_137,Llave de golpe plana
category_138,Llave de pua
category_139,Llave de tubo
category_140,Llave doble aro corta
category_141,Llave doble boca
category_142,Llave Hytorc Avanti
category_143,Llave neumática
category_144,Macho - Rectificador de rosca
category_145,Mandarria de bronce M/Fibra
category_146,Mandarria de bronce M/madera
category_147,Mandarria de hierro M/Fibra
category_148,Mandarria de hierro M/madera
category_149,Manguera
category_150,Manguera para aire con carrete autoretractable
category_151,Manifold para equipo hidraúlico
category_152,Martillo de bola M/fibra
category_153,Martillo de bola M/madera
