"id","name"
manufacturers_001,3M
manufacturers_002,ACESSA
manufacturers_003,AIR KING
manufacturers_004,AMPCO
manufacturers_005,AMPRO
manufacturers_006,BLUE POINT
manufacturers_007,BLUE STAR
manufacturers_008,BRONALVEN
manufacturers_009,CAMPBELL
manufacturers_010,CAMPBELL
manufacturers_011,CEMBRE
manufacturers_012,CHICAGO
manufacturers_013,CROSBY
manufacturers_014,DEWALT
manufacturers_015,DOTCO
manufacturers_016,ENERPAC
manufacturers_017,FACOM
manufacturers_018,FP
manufacturers_019,FP
manufacturers_020,GEARWRENCH
manufacturers_021,GLOBAL
manufacturers_022,GREENLEE
manufacturers_023,HARPER
manufacturers_024,HARRINTONG
manufacturers_025,HILTI
manufacturers_026,HYTORC
manufacturers_027,INGERSOLL RAND
manufacturers_028,IRWIN
manufacturers_029,KIPEERTOOLS
manufacturers_030,LUXFLIN
manufacturers_031,MEXICO
manufacturers_032,MILWAUKEE
manufacturers_033,MORSE
manufacturers_034,PROTO
manufacturers_035,PRO-WELD
manufacturers_036,RIDGID
manufacturers_037,SAFE SHOP
manufacturers_038,SIOUK
manufacturers_039,SKILL
manufacturers_040,SNAP-ON
manufacturers_041,SPX POWER JEAM
manufacturers_042,STANLEY
manufacturers_043,STARRETT
manufacturers_044,TRUPPER
manufacturers_045,UNIVERSAL TOOLS
manufacturers_046,USA
manufacturers_047,VICTOR
manufacturers_048,VISE-GRIP
manufacturers_049,WELTECH
manufacturers_050,WERNER
manufacturers_051,WILL ALLOY
manufacturers_052,WRINGH USA
manufacturers_053,YAMATO
