"id","name"
measure_001,11/64"
measure_002,47/64"
measure_003,3/8"
measure_004,43/64"
measure_005,35/64"
measure_006,17/64"
measure_007,9/16"
measure_008,11/16"
measure_009,13/64"
measure_010,13/16"
measure_011,39/64"
measure_012,51/64"
measure_013,3/16"
measure_014,37/64"
measure_015,21/64"
measure_016,1/64"
measure_017,1/16"
measure_018,15/32"
measure_019,1/4"
measure_020,45/64"
measure_021,41/64"
measure_022,7/64"
measure_023,5/8"
measure_024,11/32"
measure_025,23/64"
measure_026,9/32"
measure_027,5/32"
measure_028,1/2"
measure_029,1/8"
measure_030,53/64"
measure_031,23/32"
measure_032,13/32"
measure_033,5/16"
measure_034,1/32"
measure_035,21/32"
measure_036,5/64"
measure_037,49/64"
measure_038,17/32"
measure_039,19/32"
measure_040,31/64"
measure_041,25/32"
measure_042,3/64"
measure_043,9/64"
measure_044,25/64"
measure_045,33/64"
measure_046,27/64"
measure_047,3/32"
measure_048,19/64"
measure_049,7/32"
measure_050,15/64"
measure_051,7/16"
measure_052,3/4"
measure_053,29/64"
measure_054,27/32"
measure_055,55/64"
measure_056,7/8"
measure_057,57/64"
measure_058,29/32"
measure_059,59/64"
measure_060,15/16"
measure_061,61/64"
measure_062,31/32"
measure_063,63/64"
measure_064,1"
measure_065,1 1/16"
measure_066,1 3/32"
measure_067,1 1/8"
measure_068,1 3/16"
measure_069,1 1/4"
measure_070,1 5/16"
measure_071,1 3/8"
measure_072,1 7/16"
measure_073,1 1/2"
measure_074,1 9/16"
measure_075,1 5/8"
measure_076,1 11/16"
measure_077,1 3/4"
measure_078,1 13/16"
measure_079,1 7/8"
measure_080,1 15/16"
measure_081,2"
measure_082,2 1/16"
measure_083,2 3/32"
measure_084,2 1/8"
measure_085,2 3/16"
measure_086,2 1/4"
measure_087,2 5/16"
measure_088,2 3/8"
measure_089,2 7/16"
measure_090,2 1/2"
measure_091,2 9/16"
measure_092,2 5/8"
measure_093,2 11/16"
measure_094,2 3/4"
measure_095,2 13/16"
measure_096,2 7/8"
measure_097,2 15/16"
measure_098,3"
measure_099,3 1/16"
measure_100,3 3/32"
measure_101,3 1/8"
measure_102,3 3/16"
measure_103,3 1/4"
