"id","name"
quadrant_001,1/4"
quadrant_002,3/8"
quadrant_003,1/2"
quadrant_004,3/4"
quadrant_005,1"
quadrant_006,1 1/2"
quadrant_007,2"
quadrant_008,5"
quadrant_009,6"
quadrant_010,7"
quadrant_011,8"
quadrant_012,9"
quadrant_013,10"
quadrant_014,11"
quadrant_015,12"
quadrant_016,13"
quadrant_017,14"
quadrant_018,15"
quadrant_019,16"
quadrant_020,17"
quadrant_021,18"
quadrant_022,19"
quadrant_023,20"
quadrant_024,21"
quadrant_025,22"
quadrant_026,23"
quadrant_027,24"
quadrant_028,25"
quadrant_029,26"
quadrant_030,27"
quadrant_031,28"
quadrant_032,29"
quadrant_033,30"
quadrant_034,31"
quadrant_035,32"
quadrant_036,33"
quadrant_037,34"
quadrant_038,35"
quadrant_039,36"
quadrant_040,37"
quadrant_041,38"
quadrant_042,39"
quadrant_043,40"
quadrant_044,41"
quadrant_045,42"
quadrant_046,43"
quadrant_047,44"
quadrant_048,45"
quadrant_049,46"
quadrant_050,47"
quadrant_051,48"
quadrant_052,49"
quadrant_053,50"
quadrant_054,1Mts
quadrant_055,2Mts
quadrant_056,3Mts
quadrant_057,4Mts
quadrant_058,5Mts
quadrant_059,6Mts
quadrant_060,7Mts
quadrant_061,8Mts
quadrant_062,9Mts
quadrant_063,10Mts
quadrant_064,11Mts
quadrant_065,12Mts
quadrant_066,13Mts
quadrant_067,14Mts
quadrant_068,15Mts
quadrant_069,16Mts
quadrant_070,17Mts
quadrant_071,18Mts
quadrant_072,19Mts
quadrant_073,20Mts
quadrant_074,21Mts
quadrant_075,22Mts
quadrant_076,23Mts
quadrant_077,24Mts
quadrant_078,25Mts
quadrant_079,26Mts
quadrant_080,27Mts
quadrant_081,28Mts
quadrant_082,29Mts
quadrant_083,30Mts
quadrant_084,31Mts
quadrant_085,32Mts
quadrant_086,33Mts
quadrant_087,34Mts
quadrant_088,35Mts
quadrant_089,36Mts
quadrant_090,37Mts
quadrant_091,38Mts
quadrant_092,39Mts
quadrant_093,40Mts
quadrant_094,41Mts
quadrant_095,42Mts
quadrant_096,43Mts
quadrant_097,44Mts
quadrant_098,45Mts
quadrant_099,46Mts
quadrant_100,47Mts
quadrant_101,48Mts
quadrant_102,49Mts
quadrant_103,50Mts
quadrant_104,1FT
quadrant_105,2FT
quadrant_106,3FT
quadrant_107,4FT
quadrant_108,5FT
quadrant_109,6FT
quadrant_110,7FT
quadrant_111,8FT
quadrant_112,9FT
quadrant_113,10FT
quadrant_114,11FT
quadrant_115,12FT
quadrant_116,13FT
quadrant_117,14FT
quadrant_118,15FT
quadrant_119,16FT
quadrant_120,17FT
quadrant_121,18FT
quadrant_122,19FT
quadrant_123,20FT
quadrant_124,21FT
quadrant_125,22FT
quadrant_126,23FT
quadrant_127,24FT
quadrant_128,25FT
quadrant_129,26FT
quadrant_130,27FT
quadrant_131,28FT
quadrant_132,29FT
quadrant_133,30FT
quadrant_134,31FT
quadrant_135,32FT
quadrant_136,33FT
quadrant_137,34FT
quadrant_138,35FT
quadrant_139,36FT
quadrant_140,37FT
quadrant_141,38FT
quadrant_142,39FT
quadrant_143,40FT
quadrant_144,41FT
quadrant_145,42FT
quadrant_146,43FT
quadrant_147,44FT
quadrant_148,45FT
quadrant_149,46FT
quadrant_150,47FT
quadrant_151,48FT
quadrant_152,49FT
quadrant_153,50FT
quadrant_154,11/64"
quadrant_155,1"
quadrant_156,1/16"
quadrant_157,1/2"
quadrant_158,1/32"
quadrant_159,1/4"
quadrant_160,1/64"
quadrant_161,1/8"
quadrant_162,11/16"
quadrant_163,11/32"
quadrant_164,13/16"
quadrant_165,13/32"
quadrant_166,13/64"
quadrant_167,15/16"
quadrant_168,15/32"
quadrant_169,15/64"
quadrant_170,17/32"
quadrant_171,17/64"
quadrant_172,19/32"
quadrant_173,19/64"
quadrant_174,3/16"
quadrant_175,3/32"
quadrant_176,3/4"
quadrant_177,3/64"
quadrant_178,3/8"
quadrant_179,5/16"
quadrant_180,5/32"
quadrant_181,5/64"
quadrant_182,5/8"
quadrant_183,7/16"
quadrant_184,7/32"
quadrant_185,7/64"
quadrant_186,7/8"
quadrant_187,9/16"
quadrant_188,9/32"
quadrant_189,9/64"
